Confianza,Soporte,R. acierto,FP,FN,Total
0.0,0.0,0.788,247,176,2713
0.0,0.0005,0.819,169,193,1747
0.0,0.0009,0.826,144,203,1210
0.0,0.0015,0.828,127,218,733
0.0,0.0029,0.83,102,237,282
0.0,0.0069,0.826,79,270,42
0.0,0.7088,0.796,0,407,0
0.2,0.0,0.788,247,176,2713
0.2,0.0005,0.819,169,193,1747
0.2,0.0009,0.826,144,203,1210
0.2,0.0015,0.828,127,218,733
0.2,0.0029,0.83,102,237,282
0.2,0.0069,0.826,79,270,42
0.2,0.7088,0.796,0,407,0
0.5,0.0,0.788,247,176,2713
0.5,0.0005,0.819,169,193,1747
0.5,0.0009,0.826,144,203,1210
0.5,0.0015,0.828,127,218,733
0.5,0.0029,0.83,102,237,282
0.5,0.0069,0.826,79,270,42
0.5,0.7088,0.796,0,407,0
0.8,0.0,0.804,92,301,1508
0.8,0.0005,0.816,53,314,1260
0.8,0.0009,0.826,25,323,867
0.8,0.0015,0.823,16,338,544
0.8,0.0029,0.822,9,347,209
0.8,0.0069,0.817,9,357,29
0.8,0.7088,0.796,0,407,0
0.9,0.0,0.806,72,316,732
0.9,0.0005,0.824,19,334,484
0.9,0.0009,0.824,12,339,420
0.9,0.0015,0.82,8,351,293
0.9,0.0029,0.82,7,352,110
0.9,0.0069,0.814,4,369,9
0.9,0.7088,0.796,0,407,0
0.95,0.0,0.805,70,320,454
0.95,0.0005,0.822,16,339,206
0.95,0.0009,0.822,5,351,142
0.95,0.0015,0.822,5,352,121
0.95,0.0029,0.818,3,362,55
0.95,0.0069,0.81,2,377,4
0.95,0.7088,0.796,0,407,0
